Scene,RankInScene,ConditionName,Filename,Metric,Level,VisualQuality_Mean,Uncertainty_StdDev,ComparisonsCount
pink_room,12,pink_room:restir_level1,pink_room/restir/level1/video0.rgb,restir,level1,+0.16292,0.36801,11
pink_room,13,pink_room:motion_resolution_level0,pink_room/motion_resolution/level0/video0.rgb,motion_resolution,level0,+0.05261,0.33547,14
pink_room,14,pink_room:judder_level2,pink_room/judder/level2/video0.rgb,judder,level2,+0.00284,0.36324,12
pink_room,15,pink_room:duration_flicker_level0,pink_room/duration_flicker/level0/video0.rgb,duration_flicker,level0,-0.06914,0.35171,12
pink_room,16,pink_room:dlss_rr_level1,pink_room/dlss_rr/level1/video0.rgb,dlss_rr,level1,-0.16239,0.38208,10
pink_room,17,pink_room:noise_colors_level1,pink_room/noise_colors/level1/video0.rgb,noise_colors,level1,-0.26451,0.33180,15
pink_room,18,pink_room:dlss_rr_level0,pink_room/dlss_rr/level0/video0.rgb,dlss_rr,level0,-0.30342,0.37819,10
pink_room,19,pink_room:stutter_level2,pink_room/stutter/level2/video0.rgb,stutter,level2,-0.32581,0.32374,15
pink_room,20,pink_room:duration_flicker_level2,pink_room/duration_flicker/level2/video0.rgb,duration_flicker,level2,-0.45660,0.35865,11
pink_room,21,pink_room:temporal-resolution-multiplexing_level1,pink_room/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,-0.55618,0.40508,8
pink_room,22,pink_room:noise_colors_level2,pink_room/noise_colors/level2/video0.rgb,noise_colors,level2,-0.56555,0.37740,11
pink_room,23,pink_room:duration_flicker_level1,pink_room/duration_flicker/level1/video0.rgb,duration_flicker,level1,-0.63895,0.37845,11
pink_room,24,pink_room:temporal-resolution-multiplexing_level2,pink_room/temporal-resolution-multiplexing/level2/video0.rgb,temporal-resolution-multiplexing,level2,-0.68190,0.31559,15
pink_room,25,pink_room:dlss_rr_level2,pink_room/dlss_rr/level2/video0.rgb,dlss_rr,level2,-0.70158,0.40580,9
pink_room,26,pink_room:motion_resolution_level1,pink_room/motion_resolution/level1/video0.rgb,motion_resolution,level1,-0.88933,0.40612,9
pink_room,27,pink_room:motion_resolution_level2,pink_room/motion_resolution/level2/video0.rgb,motion_resolution,level2,-1.33765,0.46138,9
subway,1,subway:stutter_level0,subway/stutter/level0/video0.rgb,stutter,level0,+1.56172,0.44687,9
subway,2,subway:temporal-resolution-multiplexing_level0,subway/temporal-resolution-multiplexing/level0/video0.rgb,temporal-resolution-multiplexing,level0,+1.12625,0.39024,11
subway,3,subway:stutter_level1,subway/stutter/level1/video0.rgb,stutter,level1,+1.08513,0.40291,10
