ConditionIndex,ConditionName,Scene,Metric,Level,VisualQualityScore_Mean,Uncertainty_StdDev
185,subway:restir_level2,subway,restir,level2,0.000000,0.707107
186,subway:stutter_level0,subway,stutter,level0,0.000000,0.707107
187,subway:stutter_level1,subway,stutter,level1,0.000000,0.707107
188,subway:stutter_level2,subway,stutter,level2,0.000000,0.707107
189,subway:temporal-resolution-multiplexing_level0,subway,temporal-resolution-multiplexing,level0,0.000000,0.707107
190,subway:temporal-resolution-multiplexing_level1,subway,temporal-resolution-multiplexing,level1,0.000000,0.707107
191,subway:temporal-resolution-multiplexing_level2,subway,temporal-resolution-multiplexing,level2,0.000000,0.707107
192,zeroday:dlss_rr_level0,zeroday,dlss_rr,level0,0.000000,0.707107
193,zeroday:dlss_rr_level1,zeroday,dlss_rr,level1,0.000000,0.707107
194,zeroday:dlss_rr_level2,zeroday,dlss_rr,level2,0.000000,0.707107
195,zeroday:judder_level0,zeroday,judder,level0,0.000000,0.707107
196,zeroday:judder_level1,zeroday,judder,level1,0.000000,0.707107
197,zeroday:judder_level2,zeroday,judder,level2,0.000000,0.707107
198,zeroday:motion_noise_level0,zeroday,motion_noise,level0,0.000000,0.707107
199,zeroday:motion_noise_level1,zeroday,motion_noise,level1,0.000000,0.707107
200,zeroday:motion_noise_level2,zeroday,motion_noise,level2,0.000000,0.707107
201,zeroday:motion_resolution_level0,zeroday,motion_resolution,level0,0.000000,0.707107
202,zeroday:motion_resolution_level1,zeroday,motion_resolution,level1,0.000000,0.707107
203,zeroday:motion_resolution_level2,zeroday,motion_resolution,level2,0.000000,0.707107
204,zeroday:noise_colors_level0,zeroday,noise_colors,level0,0.000000,0.707107
205,zeroday:noise_colors_level1,zeroday,noise_colors,level1,0.000000,0.707107
206,zeroday:noise_colors_level2,zeroday,noise_colors,level2,0.000000,0.707107
207,zeroday:restir_level0,zeroday,restir,level0,0.000000,0.707107
208,zeroday:restir_level1,zeroday,restir,level1,0.000000,0.707107
209,zeroday:restir_level2,zeroday,restir,level2,0.000000,0.707107
210,zeroday:stutter_level0,zeroday,stutter,level0,0.000000,0.707107
211,zeroday:stutter_level1,zeroday,stutter,level1,0.000000,0.707107
212,zeroday:stutter_level2,zeroday,stutter,level2,0.000000,0.707107
213,zeroday:temporal-resolution-multiplexing_level0,zeroday,temporal-resolution-multiplexing,level0,0.000000,0.707107
214,zeroday:temporal-resolution-multiplexing_level1,zeroday,temporal-resolution-multiplexing,level1,0.000000,0.707107
215,zeroday:temporal-resolution-multiplexing_level2,zeroday,temporal-resolution-multiplexing,level2,0.000000,0.707107
