SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
Jorge2,166,classroom,classroom:temporal-resolution-multiplexing_level0,classroom:judder_level1,LEFT,classroom:temporal-resolution-multiplexing_level0,classroom:judder_level1,4.625,240.01
Jorge2,167,zeroday,zeroday:dlss_rr_level0,zeroday:dlss_rr_level1,RIGHT,zeroday:dlss_rr_level1,zeroday:dlss_rr_level0,7.7375,240.01
Jorge2,168,pink_room,pink_room:dlss_rr_level1,pink_room:dlss_rr_level2,LEFT,pink_room:dlss_rr_level1,pink_room:dlss_rr_level2,5.3084,240.01
Jorge2,169,zeroday,zeroday:noise_colors_level1,zeroday:duration_flicker_level0,RIGHT,zeroday:duration_flicker_level0,zeroday:noise_colors_level1,4.759,239.98
Jorge2,170,bistro_interior,bistro_interior:motion_resolution_level1,bistro_interior:restir_level2,LEFT,bistro_interior:motion_resolution_level1,bistro_interior:restir_level2,11.3722,239.97
Jorge2,171,subway,subway:motion_noise_level1,subway:duration_flicker_level1,LEFT,subway:motion_noise_level1,subway:duration_flicker_level1,8.4011,239.98
Jorge2,172,bistro_exterior,bistro_exterior:motion_noise_level0,bistro_exterior:restir_level2,LEFT,bistro_exterior:motion_noise_level0,bistro_exterior:restir_level2,5.3965,239.98
Jorge2,173,zeroday,zeroday:judder_level0,zeroday:restir_level0,LEFT,zeroday:judder_level0,zeroday:restir_level0,8.021,240.0
Jorge2,174,landscape,landscape:duration_flicker_level0,landscape:restir_level0,RIGHT,landscape:restir_level0,landscape:duration_flicker_level0,5.2671,239.99
Jorge2,175,subway,subway:dlss_rr_level2,subway:duration_flicker_level1,LEFT,subway:dlss_rr_level2,subway:duration_flicker_level1,9.3053,239.98
Jorge2,176,bistro_exterior,bistro_exterior:judder_level2,bistro_exterior:temporal-resolution-multiplexing_level2,LEFT,bistro_exterior:judder_level2,bistro_exterior:temporal-resolution-multiplexing_level2,4.817,239.99
Jorge2,177,attic,attic:motion_resolution_level0,attic:duration_flicker_level1,LEFT,attic:motion_resolution_level0,attic:duration_flicker_level1,3.7584,240.01
Jorge2,178,bistro_interior,bistro_interior:noise_colors_level1,bistro_interior:restir_level1,LEFT,bistro_interior:noise_colors_level1,bistro_interior:restir_level1,4.0459,240.01
Jorge2,179,zeroday,zeroday:duration_flicker_level0,zeroday:dlss_rr_level2,RIGHT,zeroday:dlss_rr_level2,zeroday:duration_flicker_level0,6.2959,240.0
Jorge2,180,classroom,classroom:motion_resolution_level0,classroom:duration_flicker_level1,LEFT,classroom:motion_resolution_level0,classroom:duration_flicker_level1,4.396,240.0
Jorge2,181,landscape,landscape:judder_level0,landscape:duration_flicker_level2,RIGHT,landscape:duration_flicker_level2,landscape:judder_level0,4.8424,239.97
Jorge2,182,subway,subway:restir_level1,subway:motion_resolution_level0,RIGHT,subway:motion_resolution_level0,subway:restir_level1,3.6921,239.99
Jorge2,183,bistro_exterior,bistro_exterior:restir_level1,bistro_exterior:noise_colors_level2,LEFT,bistro_exterior:restir_level1,bistro_exterior:noise_colors_level2,5.2377,240.0
Jorge2,184,pink_room,pink_room:duration_flicker_level1,pink_room:restir_level2,RIGHT,pink_room:restir_level2,pink_room:duration_flicker_level1,7.9625,240.01
Jorge2,185,classroom,classroom:temporal-resolution-multiplexing_level0,classroom:restir_level0,LEFT,classroom:temporal-resolution-multiplexing_level0,classroom:restir_level0,4.3463,239.98
Jorge2,186,subway,subway:duration_flicker_level0,subway:restir_level1,LEFT,subway:duration_flicker_level0,subway:restir_level1,4.7922,239.98
Jorge2,187,classroom,classroom:noise_colors_level1,classroom:dlss_rr_level2,RIGHT,classroom:dlss_rr_level2,classroom:noise_colors_level1,4.8209,240.01
Jorge2,188,classroom,classroom:noise_colors_level1,classroom:duration_flicker_level0,LEFT,classroom:noise_colors_level1,classroom:duration_flicker_level0,4.7709,240.01
