SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
yaru,30,landscape,landscape:stutter_level0,landscape:restir_level0,RIGHT,landscape:restir_level0,landscape:stutter_level0,2.2252,239.99
yaru,31,subway,subway:temporal-resolution-multiplexing_level1,subway:dlss_rr_level2,RIGHT,subway:dlss_rr_level2,subway:temporal-resolution-multiplexing_level1,2.8292,240.02
yaru,32,bistro_interior,bistro_interior:motion_noise_level2,bistro_interior:stutter_level2,LEFT,bistro_interior:motion_noise_level2,bistro_interior:stutter_level2,2.8417,240.01
yaru,33,zeroday,zeroday:noise_colors_level2,zeroday:stutter_level2,LEFT,zeroday:noise_colors_level2,zeroday:stutter_level2,2.7542,240.01
yaru,34,subway,subway:noise_colors_level2,subway:restir_level1,LEFT,subway:noise_colors_level2,subway:restir_level1,3.788,239.99
yaru,35,classroom,classroom:stutter_level2,classroom:duration_flicker_level1,LEFT,classroom:stutter_level2,classroom:duration_flicker_level1,2.8202,239.75
yaru,36,landscape,landscape:restir_level0,landscape:motion_noise_level1,LEFT,landscape:restir_level0,landscape:motion_noise_level1,6.4177,239.97
yaru,37,zeroday,zeroday:duration_flicker_level1,zeroday:dlss_rr_level2,RIGHT,zeroday:dlss_rr_level2,zeroday:duration_flicker_level1,3.2419,240.0
yaru,38,attic,attic:temporal-resolution-multiplexing_level0,attic:noise_colors_level0,RIGHT,attic:noise_colors_level0,attic:temporal-resolution-multiplexing_level0,3.2462,239.99
yaru,39,classroom,classroom:motion_resolution_level0,classroom:temporal-resolution-multiplexing_level0,RIGHT,classroom:temporal-resolution-multiplexing_level0,classroom:motion_resolution_level0,22.0042,240.0
yaru,40,landscape,landscape:restir_level1,landscape:stutter_level0,RIGHT,landscape:stutter_level0,landscape:restir_level1,5.7216,239.98
yaru,41,bistro_exterior,bistro_exterior:judder_level0,bistro_exterior:dlss_rr_level1,LEFT,bistro_exterior:judder_level0,bistro_exterior:dlss_rr_level1,2.6838,239.98
yaru,42,marbles,marbles:noise_colors_level1,marbles:stutter_level2,RIGHT,marbles:stutter_level2,marbles:noise_colors_level1,5.9293,240.0
yaru,43,pink_room,pink_room:restir_level1,pink_room:stutter_level2,LEFT,pink_room:restir_level1,pink_room:stutter_level2,2.6417,240.02
yaru,44,bistro_exterior,bistro_exterior:restir_level1,bistro_exterior:noise_colors_level0,RIGHT,bistro_exterior:noise_colors_level0,bistro_exterior:restir_level1,12.3294,240.0
yaru,45,pink_room,pink_room:judder_level0,pink_room:motion_resolution_level0,LEFT,pink_room:judder_level0,pink_room:motion_resolution_level0,1.8959,240.03
yaru,46,attic,attic:dlss_rr_level1,attic:dlss_rr_level2,LEFT,attic:dlss_rr_level1,attic:dlss_rr_level2,4.9542,240.01
yaru,47,subway,subway:duration_flicker_level0,subway:noise_colors_level1,RIGHT,subway:noise_colors_level1,subway:duration_flicker_level0,5.1418,240.01
yaru,48,subway,subway:restir_level1,subway:motion_noise_level2,RIGHT,subway:motion_noise_level2,subway:restir_level1,4.2167,240.01
yaru,49,zeroday,zeroday:duration_flicker_level1,zeroday:judder_level2,RIGHT,zeroday:judder_level2,zeroday:duration_flicker_level1,7.8667,240.01
yaru,50,marbles,marbles:motion_noise_level0,marbles:noise_colors_level0,RIGHT,marbles:noise_colors_level0,marbles:motion_noise_level0,6.6468,239.97
yaru,51,subway,subway:dlss_rr_level2,subway:motion_resolution_level2,RIGHT,subway:motion_resolution_level2,subway:dlss_rr_level2,1.8169,240.0
yaru,52,bistro_interior,bistro_interior:noise_colors_level2,bistro_interior:motion_resolution_level1,RIGHT,bistro_interior:motion_resolution_level1,bistro_interior:noise_colors_level2,1.4209,240.02
yaru,53,pink_room,pink_room:motion_noise_level2,pink_room:judder_level0,LEFT,pink_room:motion_noise_level2,pink_room:judder_level0,3.7334,240.01
