observer,scene,condition_A,condition_B,is_A_selected,metric_A,level_A,metric_B,level_B,response_time_sec
Jorge,marbles,restir_level2,motion_resolution_level2,1,restir,level2,motion_resolution,level2,4.8425
Jorge,bistro_interior,temporal-resolution-multiplexing_level2,noise_colors_level0,0,temporal-resolution-multiplexing,level2,noise_colors,level0,4.9385
Jorge,marbles,duration_flicker_level1,temporal-resolution-multiplexing_level1,1,duration_flicker,level1,temporal-resolution-multiplexing,level1,6.0761
Jorge,attic,dlss_rr_level2,stutter_level0,0,dlss_rr,level2,stutter,level0,4.6674
Jorge,bistro_exterior,motion_noise_level1,restir_level1,1,motion_noise,level1,restir,level1,5.3926
Jorge,bistro_exterior,stutter_level1,restir_level1,1,stutter,level1,restir,level1,5.3551
Jorge,subway,temporal-resolution-multiplexing_level1,dlss_rr_level0,0,temporal-resolution-multiplexing,level1,dlss_rr,level0,5.3134
Jorge,marbles,motion_noise_level0,judder_level0,0,motion_noise,level0,judder,level0,6.8012
Jorge,subway,temporal-resolution-multiplexing_level2,motion_noise_level0,0,temporal-resolution-multiplexing,level2,motion_noise,level0,5.3425
Jorge,pink_room,stutter_level2,judder_level0,0,stutter,level2,judder,level0,5.3716
Jorge,pink_room,dlss_rr_level0,noise_colors_level2,0,dlss_rr,level0,noise_colors,level2,7.4846
Jorge,bistro_exterior,motion_resolution_level1,temporal-resolution-multiplexing_level1,0,motion_resolution,level1,temporal-resolution-multiplexing,level1,6.5345
Jorge,bistro_exterior,dlss_rr_level0,stutter_level0,0,dlss_rr,level0,stutter,level0,5.5385
Jorge,bistro_interior,stutter_level2,dlss_rr_level0,0,stutter,level2,dlss_rr,level0,5.3093
Jorge,bistro_exterior,motion_noise_level0,dlss_rr_level0,1,motion_noise,level0,dlss_rr,level0,5.7217
Jorge,subway,judder_level2,motion_resolution_level2,1,judder,level2,motion_resolution,level2,8.0179
Jorge,pink_room,stutter_level0,noise_colors_level2,1,stutter,level0,noise_colors,level2,5.3360
Jorge,zeroday,restir_level2,restir_level1,0,restir,level2,restir,level1,5.6219
Jorge,marbles,motion_noise_level0,motion_resolution_level0,1,motion_noise,level0,motion_resolution,level0,5.2719
Jorge,pink_room,noise_colors_level1,judder_level1,0,noise_colors,level1,judder,level1,5.4050
Jorge,subway,noise_colors_level1,judder_level2,1,noise_colors,level1,judder,level2,4.7385
Jorge,zeroday,noise_colors_level0,stutter_level2,1,noise_colors,level0,stutter,level2,5.4510
Jorge,pink_room,duration_flicker_level1,temporal-resolution-multiplexing_level1,1,duration_flicker,level1,temporal-resolution-multiplexing,level1,5.2217
Jorge,marbles,stutter_level1,duration_flicker_level0,1,stutter,level1,duration_flicker,level0,4.4465
Jorge,zeroday,motion_noise_level2,restir_level1,1,motion_noise,level2,restir,level1,5.5927
Jorge,bistro_exterior,judder_level1,motion_resolution_level2,1,judder,level1,motion_resolution,level2,5.3219
Jorge,pink_room,stutter_level1,motion_resolution_level1,1,stutter,level1,motion_resolution,level1,5.2384
Jorge,attic,noise_colors_level2,temporal-resolution-multiplexing_level1,0,noise_colors,level2,temporal-resolution-multiplexing,level1,10.1766
Jorge,pink_room,dlss_rr_level1,dlss_rr_level0,0,dlss_rr,level1,dlss_rr,level0,8.3219
Jorge,subway,temporal-resolution-multiplexing_level1,stutter_level2,1,temporal-resolution-multiplexing,level1,stutter,level2,5.1926
Jorge,bistro_exterior,restir_level0,judder_level0,1,restir,level0,judder,level0,5.4927
Jorge,bistro_exterior,restir_level0,duration_flicker_level1,1,restir,level0,duration_flicker,level1,8.3556
Jorge,subway,restir_level2,stutter_level0,0,restir,level2,stutter,level0,4.5049
Jorge,bistro_exterior,judder_level1,judder_level2,1,judder,level1,judder,level2,5.4134
Jorge,bistro_exterior,temporal-resolution-multiplexing_level0,dlss_rr_level2,1,temporal-resolution-multiplexing,level0,dlss_rr,level2,5.2843
Jorge,zeroday,motion_noise_level1,motion_noise_level0,0,motion_noise,level1,motion_noise,level0,7.3429
Jorge,pink_room,restir_level1,judder_level1,0,restir,level1,judder,level1,5.2801
Jorge,pink_room,stutter_level2,motion_noise_level0,0,stutter,level2,motion_noise,level0,5.2343
Jorge,bistro_interior,restir_level2,stutter_level1,0,restir,level2,stutter,level1,5.4302
Jorge,attic,temporal-resolution-multiplexing_level1,restir_level2,1,temporal-resolution-multiplexing,level1,restir,level2,4.3051
Jorge,attic,motion_resolution_level1,motion_resolution_level2,1,motion_resolution,level1,motion_resolution,level2,6.6342
Jorge,bistro_exterior,stutter_level1,duration_flicker_level0,0,stutter,level1,duration_flicker,level0,5.2843
Jorge,zeroday,motion_resolution_level0,stutter_level2,1,motion_resolution,level0,stutter,level2,5.4092
Jorge,bistro_exterior,motion_noise_level0,stutter_level2,1,motion_noise,level0,stutter,level2,5.0551
Jorge,bistro_interior,motion_resolution_level1,duration_flicker_level0,0,motion_resolution,level1,duration_flicker,level0,5.3176
Jorge,attic,motion_noise_level2,temporal-resolution-multiplexing_level2,1,motion_noise,level2,temporal-resolution-multiplexing,level2,4.4301
Jorge,attic,restir_level1,temporal-resolution-multiplexing_level0,0,restir,level1,temporal-resolution-multiplexing,level0,4.8633
Jorge,pink_room,motion_noise_level2,motion_noise_level0,0,motion_noise,level2,motion_noise,level0,5.5676
Jorge,subway,noise_colors_level2,judder_level0,0,noise_colors,level2,judder,level0,4.8050
Jorge,subway,motion_resolution_level2,temporal-resolution-multiplexing_level0,0,motion_resolution,level2,temporal-resolution-multiplexing,level0,4.8260
Jorge,attic,motion_resolution_level0,stutter_level2,1,motion_resolution,level0,stutter,level2,4.2007
Jorge,bistro_exterior,dlss_rr_level2,temporal-resolution-multiplexing_level1,0,dlss_rr,level2,temporal-resolution-multiplexing,level1,5.4010
Jorge,pink_room,dlss_rr_level2,stutter_level1,0,dlss_rr,level2,stutter,level1,5.2006
Jorge,bistro_interior,noise_colors_level0,motion_resolution_level0,1,noise_colors,level0,motion_resolution,level0,5.4010
Jorge,pink_room,noise_colors_level2,temporal-resolution-multiplexing_level2,1,noise_colors,level2,temporal-resolution-multiplexing,level2,4.6633
Jorge,pink_room,stutter_level0,motion_resolution_level2,1,stutter,level0,motion_resolution,level2,4.8926
Jorge,bistro_interior,noise_colors_level2,restir_level2,1,noise_colors,level2,restir,level2,5.3344
Jorge,bistro_interior,stutter_level0,motion_resolution_level1,1,stutter,level0,motion_resolution,level1,4.7133
Jorge,pink_room,motion_resolution_level2,motion_noise_level0,0,motion_resolution,level2,motion_noise,level0,5.3051
Jorge,subway,temporal-resolution-multiplexing_level0,dlss_rr_level1,1,temporal-resolution-multiplexing,level0,dlss_rr,level1,3.9299
Jorge,subway,duration_flicker_level2,stutter_level1,0,duration_flicker,level2,stutter,level1,4.2466
Jorge,bistro_interior,motion_noise_level0,judder_level2,1,motion_noise,level0,judder,level2,4.9425
